DOID	DIAGNOSIS_CD	category	detail
DOID:10507	I24.1	I24	1
DOID:10516	H60.20	H60	20
DOID:10516	H60.2	H60	2
DOID:10533	J12.9	J12	9
DOID:10534	C16	C16	
DOID:10534	C16.9	C16	9
DOID:10534	C16.2	C16	2
DOID:10534	C16.5	C16	5
DOID:10534	C16.6	C16	6
DOID:10538	C16.1	C16	1
DOID:10544	C16.4	C16	4
DOID:10547	C16.3	C16	3
DOID:10548	C16.0	C16	0
DOID:10550	H68.01	H68	01
DOID:10550	H68.019	H68	019
DOID:10554	G04	G04	
DOID:10554	A69.22	A69	22
DOID:1056	E72.03	E72	03
DOID:10567	A66.1	A66	1
DOID:10567	A66.4	A66	4
DOID:10568	A66.0	A66	0
DOID:10568	A66.6	A66	6
DOID:10575	E83.50	E83	50
DOID:10575	E83.5	E83	5
DOID:10581	E75.25	E75	25
DOID:10581	E75.29	E75	29
DOID:10582	G60.1	G60	1
DOID:10584	H35.52	H35	52
DOID:10587	E75.23	E75	23
DOID:10588	E71.52	E71	52
DOID:10588	E71.529	E71	529
DOID:10591	O14.90	O14	90
DOID:10591	O14.9	O14	9
DOID:10591	O14	O14	
DOID:10595	G60.0	G60	0
DOID:106	A15.6	A15	6
DOID:1060	E72.02	E72	02
DOID:10600	F95.1	F95	1
DOID:10603	R73.03	R73	03
DOID:10604	E73	E73	
DOID:10604	E73.9	E73	9
DOID:10606	K90.2	K90	2
DOID:10607	K90.1	K90	1
DOID:10608	K90.0	K90	0
DOID:10609	E55.0	E55	0
DOID:10610	K90.3	K90	3
DOID:10612	L50.0	L50	0
DOID:10627	H47.21	H47	21
DOID:10629	Q11.2	Q11	2
DOID:1063	N12	N12	
DOID:10646	F21	F21	
DOID:10652	G30	G30	
DOID:10652	G30.9	G30	9
DOID:1066	H40.15	H40	15
DOID:1067	H40.1	H40	1
DOID:1067	H40.10	H40	10
DOID:1067	H40.13	H40	13
DOID:10686	N64.89	N64	89
DOID:10688	N62	N62	
DOID:10691	N64.1	N64	1
DOID:10699	B66.4	B66	4
DOID:1070	H40.11	H40	11
DOID:10718	A07.1	A07	1
DOID:1074	N19	N19	
DOID:10744	C57.1	C57	1
DOID:10754	H66.90	H66	90
DOID:10754	H66.9	H66	9
DOID:10755	H70.20	H70	20
DOID:10755	H70.209	H70	209
DOID:10755	H70.2	H70	2
DOID:10755	H70.21	H70	21
DOID:10755	H70.219	H70	219
DOID:10755	H70.22	H70	22
DOID:10755	H70.229	H70	229
DOID:1076	N11.9	N11	9
DOID:1076	N11	N11	
DOID:10762	K76.6	K76	6
DOID:10763	I10	I10	
DOID:10772	M31.19	M31	19
DOID:10773	A20.0	A20	0
DOID:10778	I40.1	I40	1
DOID:10779	I40.0	I40	0
DOID:10780	D75.0	D75	0
DOID:10782	I88.0	I88	0
DOID:10783	D74	D74	
DOID:10783	D74.9	D74	9
DOID:10787	E28.31	E28	31
DOID:10787	E28.319	E28	319
DOID:10790	J32.1	J32	1
DOID:10791	J32.1	J32	1
DOID:10792	J32.0	J32	0
DOID:10793	J32.3	J32	3
DOID:10794	J32.3	J32	3
DOID:1080	B74	B74	
DOID:1080	B74.9	B74	9
DOID:10808	K25	K25	
DOID:1081	B74.4	B74	4
DOID:10811	C30.0	C30	0
DOID:10817	F65.52	F65	52
DOID:1082	B74.8	B74	8
DOID:10825	I10	I10	
DOID:10834	F65.3	F65	3
DOID:10841	A83.2	A83	2
DOID:10842	A83.4	A83	4
DOID:10843	A83.1	A83	1
DOID:10844	A83.0	A83	0
DOID:10845	A83.3	A83	3
DOID:10849	F65.51	F65	51
DOID:10863	H49	H49	
DOID:10863	H49.9	H49	9
DOID:10871	H35.30	H35	30
DOID:10873	H35.32	H35	32
DOID:10880	I80.21	I80	21
DOID:10881	B08.4	B08	4
DOID:10882	B33.0	B33	0
DOID:10883	B08.5	B08	5
DOID:10887	A30.5	A30	5
DOID:10892	Q54.9	Q54	9
DOID:10892	Q54	Q54	
DOID:10907	Q02	Q02	
DOID:10908	G91	G91	
DOID:10908	G91.9	G91	9
DOID:10914	R41.3	R41	3
DOID:10921	A77.2	A77	2
DOID:10923	D57.1	D57	1
DOID:10923	D57	D57	
DOID:10923	D57.20	D57	20
DOID:10923	D57.2	D57	2
DOID:10927	K28.0	K28	0
DOID:10930	F60.3	F60	3
DOID:10931	F60.7	F60	7
DOID:10932	F60.5	F60	5
