NDC  NDC_format  NDC_10
13668025390	5-3-2	13668-253-90
24658026695	5-3-2	24658-266-95
11845015331	5-3-2	11845-153-31
55289073430	5-3-2	55289-734-30
00536404610	4-4-2	0536-4046-10
00007489020	4-4-2	0007-4890-20
55566970001	5-4-1	55566-9700-1
67618010630	5-3-2	67618-106-30
68788966601	5-4-1	68788-9666-1
68084067611	5-3-2	68084-676-11
68094061459	5-3-2	68094-614-59
68788682809	5-4-1	68788-6828-9
54458089910	5-3-2	54458-899-10
00904582460	4-4-2	0904-5824-60
08290309581	4-4-2	8290-3095-81
00224185530	4-4-2	0224-1855-30
21695039620	5-3-2	21695-396-20
00525804918	4-4-2	0525-8049-18
08290328466	4-4-2	8290-3284-66
00603465532	4-4-2	0603-4655-32
77333030810	5-3-2	77333-308-10
52544027928	5-3-2	52544-279-28
66582031331	5-3-2	66582-313-31
31357004025	5-3-2	31357-040-25
54868585200	5-4-1	54868-5852-0
10782019830	5-3-2	10782-198-30
16590042830	5-3-2	16590-428-30
66267099120	5-3-2	66267-991-20
79854001162	5-3-2	79854-011-62
77333011525	5-3-2	77333-115-25
68788642009	5-4-1	68788-6420-9
69292031715	5-3-2	69292-317-15
65702049210	5-3-2	65702-492-10
54569541300	5-4-1	54569-5413-0
11523726808	5-4-1	11523-7268-8
00378819015	4-4-2	0378-8190-15
77333098310	5-3-2	77333-983-10
68094059962	5-3-2	68094-599-62
00247120320	4-4-2	0247-1203-20
54569412000	5-4-1	54569-4120-0
68462019255	5-3-2	68462-192-55
00093529410	4-4-2	0093-5294-10
13668016030	5-3-2	13668-160-30
89130311101	5-4-1	89130-3111-1
54569546200	5-4-1	54569-5462-0
69007077060	5-3-2	69007-770-60
68115069890	5-3-2	68115-698-90
00093736510	4-4-2	0093-7365-10
10135059797	5-3-2	10135-597-97
39822301506	5-4-1	39822-3015-6
62856052960	5-3-2	62856-529-60
00781282210	4-4-2	0781-2822-10
62542030116	5-3-2	62542-301-16
30768005031	5-3-2	30768-050-31
00440751799	4-4-2	0440-7517-99
00310197030	4-4-2	0310-1970-30
00093517129	4-4-2	0093-5171-29
58160081052	5-3-2	58160-810-52
68788632409	5-4-1	68788-6324-9
16590058990	5-3-2	16590-589-90
68462016190	5-3-2	68462-161-90
00002512330	4-4-2	0002-5123-30
00378252093	4-4-2	0378-2520-93
00378191010	4-4-2	0378-1910-10
35046000457	5-3-2	35046-004-57
00172436560	4-4-2	0172-4365-60
24658035012	5-3-2	24658-350-12
65162089129	5-3-2	65162-891-29
00005321834	4-4-2	0005-3218-34
82607066026	5-3-2	82607-660-26
68084086021	5-3-2	68084-860-21
00603307821	4-4-2	0603-3078-21
68462034737	5-3-2	68462-347-37
76439030910	5-3-2	76439-309-10
68094058762	5-3-2	68094-587-62
00904213761	4-4-2	0904-2137-61
76045010810	5-3-2	76045-108-10
70700011885	5-3-2	70700-118-85
68071026330	5-3-2	68071-263-30
86227031515	5-3-2	86227-315-15
08290328468	4-4-2	8290-3284-68
67253038210	5-3-2	67253-382-10
16571015050	5-3-2	16571-150-50
52343002399	5-3-2	52343-023-99
00185710010	4-4-2	0185-7100-10
08290309626	4-4-2	8290-3096-26
71288043792	5-3-2	71288-437-92
00781507231	4-4-2	0781-5072-31
00054457125	4-4-2	0054-4571-25
00603786449	4-4-2	0603-7864-49
69536010015	5-3-2	69536-100-15
44087115001	5-4-1	44087-1150-1
68084082025	5-3-2	68084-820-25
68071036590	5-3-2	68071-365-90
65702072310	5-3-2	65702-723-10
69315020110	5-3-2	69315-201-10
13668011890	5-3-2	13668-118-90
63187089028	5-3-2	63187-890-28
77333071510	5-3-2	77333-715-10
59762130003	5-4-1	59762-1300-3
00603107558	4-4-2	0603-1075-58
65628007010	5-3-2	65628-070-10
47463035630	5-3-2	47463-356-30
00904793838	4-4-2	0904-7938-38
00005446391	4-4-2	0005-4463-91
00074300590	4-4-2	0074-3005-90
00025182150	4-4-2	0025-1821-50
00088222033	4-4-2	0088-2220-33
00591346753	4-4-2	0591-3467-53
68084093695	5-3-2	68084-936-95
55289004815	5-3-2	55289-048-15
68084017411	5-3-2	68084-174-11
00069306086	4-4-2	0069-3060-86
16252050650	5-3-2	16252-506-50
00172572960	4-4-2	0172-5729-60
54569343202	5-4-1	54569-3432-2
58914021460	5-3-2	58914-214-60
13668011510	5-3-2	13668-115-10
16571073118	5-3-2	16571-731-18
43063091660	5-3-2	43063-916-60
68115081330	5-3-2	68115-813-30
00169750111	4-4-2	0169-7501-11
70074064933	5-3-2	70074-649-33
68682088060	5-3-2	68682-880-60
54569473400	5-4-1	54569-4734-0
53885024510	5-3-2	53885-245-10
68071131400	5-4-1	68071-1314-0
49884094499	5-3-2	49884-944-99
58160097620	5-3-2	58160-976-20
00378220177	4-4-2	0378-2201-77
45802049326	5-3-2	45802-493-26
67544059680	5-3-2	67544-596-80
00046110281	4-4-2	0046-1102-81
70074053581	5-3-2	70074-535-81
16729021816	5-3-2	16729-218-16
76439021712	5-3-2	76439-217-12
67979050140	5-3-2	67979-501-40
68071035290	5-3-2	68071-352-90
42037010479	5-3-2	42037-104-79
66479056024	5-3-2	66479-560-24
00093316753	4-4-2	0093-3167-53
58177006219	5-3-2	58177-062-19
35356012216	5-3-2	35356-122-16
51079060420	5-3-2	51079-604-20
58160082311	5-3-2	58160-823-11
00023869430	4-4-2	0023-8694-30
23155011010	5-3-2	23155-110-10
13668032430	5-3-2	13668-324-30
00378542028	4-4-2	0378-5420-28
63323003011	5-3-2	63323-030-11
00300304611	4-4-2	0300-3046-11
68084029521	5-3-2	68084-295-21
50242005121	5-3-2	50242-051-21
49614024678	5-3-2	49614-246-78
12280040915	5-3-2	12280-409-15
00781593931	4-4-2	0781-5939-31
55289013690	5-3-2	55289-136-90
68462050479	5-3-2	68462-504-79
68071044790	5-3-2	68071-447-90
08290328291	4-4-2	8290-3282-91
00603106554	4-4-2	0603-1065-54
68071076360	5-3-2	68071-763-60
00054872216	4-4-2	0054-8722-16
49281028610	5-3-2	49281-286-10
50111079478	5-3-2	50111-794-78
53002156503	5-4-1	53002-1565-3
70954056010	5-3-2	70954-560-10
00169633910	4-4-2	0169-6339-10
66582041474	5-3-2	66582-414-74
68645049270	5-3-2	68645-492-70
00074380711	4-4-2	0074-3807-11
58016027692	5-3-2	58016-276-92
57599000019	5-3-2	57599-000-19
96295012842	5-3-2	96295-128-42
08290305937	4-4-2	8290-3059-37
00904632861	4-4-2	0904-6328-61
63323056990	5-3-2	63323-569-90
53076011112	5-3-2	53076-111-12
63323059613	5-3-2	63323-596-13
68258894802	5-4-1	68258-8948-2
00480347516	4-4-2	0480-3475-16
50428035980	5-3-2	50428-359-80
44087111701	5-4-1	44087-1117-1
51224016299	5-3-2	51224-162-99
76329332100	5-4-1	76329-3321-0
00378312093	4-4-2	0378-3120-93
68968907503	5-4-1	68968-9075-3
68115038760	5-3-2	68115-387-60
13668011390	5-3-2	13668-113-90
00904598660	4-4-2	0904-5986-60
00005370823	4-4-2	0005-3708-23
11845011831	5-3-2	11845-118-31
63874020730	5-3-2	63874-207-30
11917017252	5-3-2	11917-172-52
44946104501	5-4-1	44946-1045-1
76439034330	5-3-2	76439-343-30
99073071026	5-3-2	99073-710-26
00378871273	4-4-2	0378-8712-73
00065427325	4-4-2	0065-4273-25
00904693126	4-4-2	0904-6931-26
68752000890	5-3-2	68752-008-90
44087334401	5-4-1	44087-3344-1
67544009289	5-3-2	67544-092-89
16252060144	5-3-2	16252-601-44
55289099790	5-3-2	55289-997-90
00603107554	4-4-2	0603-1075-54
00093715410	4-4-2	0093-7154-10
73317628604	5-4-1	73317-6286-4
00904549261	4-4-2	0904-5492-61
90166043152	5-3-2	90166-431-52
00228280311	4-4-2	0228-2803-11
54868580600	5-4-1	54868-5806-0
67544041653	5-3-2	67544-416-53
00378602389	4-4-2	0378-6023-89
63629333704	5-4-1	63629-3337-4
81421002134	5-3-2	81421-021-34
58016068630	5-3-2	58016-686-30
00169320415	4-4-2	0169-3204-15
00023915530	4-4-2	0023-9155-30
40986001135	5-3-2	40986-011-35
00169368213	4-4-2	0169-3682-13
66105012315	5-3-2	66105-123-15
00169369619	4-4-2	0169-3696-19
68084054025	5-3-2	68084-540-25
58118999604	5-4-1	58118-9996-4
54569462100	5-4-1	54569-4621-0
00093761756	4-4-2	0093-7617-56
11917012698	5-3-2	11917-126-98
00904561646	4-4-2	0904-5616-46
00069306030	4-4-2	0069-3060-30
55289085530	5-3-2	55289-855-30
76282020730	5-3-2	76282-207-30
54569539400	5-4-1	54569-5394-0
00074307490	4-4-2	0074-3074-90
50991040516	5-3-2	50991-405-16
00378404393	4-4-2	0378-4043-93
00781168131	4-4-2	0781-1681-31
38396070293	5-3-2	38396-702-93
63739066510	5-3-2	63739-665-10
00006911731	4-4-2	0006-9117-31
53002093363	5-3-2	53002-933-63
53885099425	5-3-2	53885-994-25
54868393204	5-4-1	54868-3932-4
68462023210	5-3-2	68462-232-10
08290328290	4-4-2	8290-3282-90
00074380611	4-4-2	0074-3806-11
67253014150	5-3-2	67253-141-50
51079045169	5-3-2	51079-451-69
62107004810	5-3-2	62107-048-10
35356052330	5-3-2	35356-523-30
54868410500	5-4-1	54868-4105-0
00440709130	4-4-2	0440-7091-30
00037759012	4-4-2	0037-7590-12
00054485925	4-4-2	0054-4859-25
54868469600	5-4-1	54868-4696-0
52959023310	5-3-2	52959-233-10
68084065211	5-3-2	68084-652-11
00093711698	4-4-2	0093-7116-98
49281039765	5-3-2	49281-397-65
00555901658	4-4-2	0555-9016-58
60760078910	5-3-2	60760-789-10
11917014357	5-3-2	11917-143-57
76439010250	5-3-2	76439-102-50
13668031130	5-3-2	13668-311-30
40986001845	5-3-2	40986-018-45
50242004164	5-3-2	50242-041-64
00093727010	4-4-2	0093-7270-10
79854040050	5-3-2	79854-400-50
54868535600	5-4-1	54868-5356-0
68462039429	5-3-2	68462-394-29
63323032225	5-3-2	63323-322-25
00378727253	4-4-2	0378-7272-53
00088222541	4-4-2	0088-2225-41
00641607025	4-4-2	0641-6070-25
68084093332	5-3-2	68084-933-32
69543038490	5-3-2	69543-384-90
16590046790	5-3-2	16590-467-90
00093727098	4-4-2	0093-7270-98
74312004233	5-3-2	74312-042-33
